iter	Passed	Remaining
1123	773	258
1124	773	257
1125	774	257
1126	774	256
1127	775	255
1128	775	254
1129	775	254
1130	776	253
1131	776	252
1132	776	251
1133	776	250
1134	777	249
1135	777	249
1136	778	248
1137	778	247
1138	778	246
1139	779	246
1140	779	245
1141	779	244
1142	780	243
1143	780	242
1144	781	242
1145	781	241
1146	781	240
1147	782	239
1148	783	239
1149	783	238
1150	784	237
1151	784	237
1152	785	236
1153	785	235
1154	786	234
1155	786	234
1156	787	233
1157	787	232
1158	788	231
1159	788	231
1160	789	230
1161	789	229
1162	789	228
1163	790	228
1164	790	227
1165	791	226
1166	791	225
1167	792	225
1168	792	224
1169	793	223
1170	793	222
1171	794	222
1172	794	221
1173	794	220
1174	795	219
1175	796	219
1176	796	218
1177	797	217
1178	797	217
1179	798	216
1180	798	215
1181	799	214
1182	799	214
1183	800	213
1184	800	212
1185	801	212
1186	802	211
1187	802	210
1188	803	210
1189	803	209
1190	804	208
1191	805	208
1192	805	207
1193	806	206
1194	807	206
1195	807	205
1196	808	204
1197	808	203
1198	809	203
1199	809	202
1200	809	201
1201	810	200
1202	810	200
1203	811	199
1204	811	198
1205	812	198
1206	812	197
1207	813	196
1208	813	195
1209	814	195
1210	814	194
1211	815	193
1212	815	193
1213	816	192
1214	816	191
1215	817	190
1216	818	190
1217	818	189
1218	819	188
1219	820	188
1220	820	187
1221	821	186
1222	822	186
1223	822	185
1224	823	184
1225	823	184
1226	824	183
1227	825	182
1228	825	182
1229	826	181
1230	826	180
1231	827	180
1232	828	179
1233	828	178
1234	829	177
1235	829	177
1236	830	176
1237	831	175
1238	831	175
1239	832	174
1240	833	173
1241	833	173
1242	834	172
1243	835	171
1244	835	171
1245	836	170
1246	836	169
1247	837	169
1248	837	168
1249	838	167
1250	839	167
1251	840	166
1252	840	165
1253	841	165
1254	842	164
1255	843	163
1256	843	163
1257	844	162
1258	845	161
1259	846	161
1260	846	160
1261	847	159
1262	848	159
1263	848	158
1264	849	157
1265	849	157
1266	850	156
1267	851	155
1268	851	155
1269	852	154
1270	853	153
1271	853	153
1272	854	152
1273	854	151
1274	855	150
1275	855	150
1276	856	149
1277	856	148
1278	857	148
1279	858	147
1280	858	146
1281	859	146
1282	860	145
1283	860	144
1284	861	144
1285	862	143
1286	862	142
1287	863	142
1288	863	141
1289	864	140
1290	864	139
1291	865	139
1292	865	138
1293	866	137
1294	866	137
1295	867	136
1296	868	135
1297	868	135
1298	869	134
1299	869	133
1300	870	133
1301	870	132
1302	871	131
1303	872	131
1304	872	130
1305	873	129
1306	873	129
1307	874	128
1308	874	127
1309	875	126
1310	875	126
1311	876	125
1312	876	124
1313	877	124
1314	878	123
1315	878	122
1316	878	122
1317	879	121
1318	879	120
1319	880	120
1320	880	119
1321	881	118
1322	882	118
1323	882	117
1324	883	116
1325	884	116
1326	884	115
1327	885	114
1328	885	113
1329	886	113
1330	887	112
1331	887	111
1332	888	111
1333	889	110
1334	889	109
1335	890	109
1336	890	108
1337	891	107
1338	891	107
1339	892	106
1340	892	105
1341	893	105
1342	893	104
1343	894	103
1344	895	103
1345	895	102
1346	896	101
1347	896	101
1348	897	100
1349	898	99
1350	898	99
1351	900	98
1352	901	97
1353	901	97
1354	902	96
1355	903	95
1356	903	95
1357	904	94
1358	904	93
1359	905	93
1360	905	92
1361	906	91
1362	907	91
1363	907	90
1364	908	89
1365	909	89
1366	909	88
1367	910	87
1368	910	87
1369	911	86
1370	912	85
1371	912	85
1372	913	84
1373	913	83
1374	914	83
1375	915	82
1376	915	81
1377	915	81
1378	916	80
1379	917	79
1380	917	79
1381	918	78
1382	919	77
1383	919	77
1384	920	76
1385	921	75
1386	921	75
1387	922	74
1388	922	73
1389	923	73
1390	923	72
1391	923	71
1392	924	70
1393	924	70
1394	925	69
1395	925	68
1396	925	68
1397	926	67
1398	926	66
1399	927	66
1400	927	65
1401	928	64
1402	928	64
1403	929	63
1404	930	62
1405	930	62
1406	931	61
1407	931	60
1408	932	60
1409	933	59
1410	933	58
1411	934	58
1412	935	57
1413	935	56
1414	935	56
1415	936	55
1416	937	54
1417	937	54
1418	938	53
1419	938	52
1420	939	52
1421	939	51
1422	940	50
1423	940	50
1424	941	49
1425	941	48
1426	942	48
1427	942	47
1428	943	46
1429	943	46
1430	943	45
1431	944	44
1432	945	44
1433	945	43
1434	946	42
1435	947	42
1436	947	41
1437	948	40
1438	949	40
1439	950	39
1440	950	38
1441	951	38
1442	952	37
1443	952	36
1444	953	36
1445	954	35
1446	954	34
1447	955	34
1448	956	33
1449	956	32
1450	957	32
1451	958	31
1452	958	31
1453	959	30
1454	960	29
1455	961	29
1456	961	28
1457	962	27
1458	962	27
1459	963	26
1460	963	25
1461	964	25
1462	964	24
1463	964	23
1464	964	23
1465	965	22
1466	966	21
1467	966	21
1468	967	20
1469	967	19
1470	967	19
1471	968	18
1472	968	17
1473	969	17
1474	969	16
1475	970	15
1476	970	15
1477	971	14
1478	972	13
1479	972	13
1480	973	12
1481	973	11
1482	974	11
1483	975	10
1484	975	9
1485	976	9
1486	976	8
1487	977	7
1488	977	7
1489	977	6
1490	978	5
1491	978	5
1492	978	4
1493	979	3
1494	979	3
1495	979	2
1496	980	1
1497	980	1
1498	980	0
1499	981	0
